IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.51,0,y/h,1,0.9,203,161.2,260898,42,114,22,42,38,122.9,2.9,5.29,151.1,193.6,29.6,78,271.3,71.4,52.9,140.7,72.7,1,193.6,0
512,50.51,1,m/m,1,nd,136.9,126.4,261345,21,61,11,21,20,78.8,3.8,4.52,134.4,145.6,22.4,69.1,225,64.7,32.8,112.8,77.5,2,72.8,0.5
512,50.51,2,m/m,1,0.8,198.5,121.2,260912,35,130,23,35,43,121.5,3.5,5.26,129.6,180.5,20.2,68.1,268.7,67.2,51.3,129.2,71.6,2,90.3,0.5
512,50.51,3,m/m,1,1.2,183.6,137.9,261093,18,94,9,18,29,103.7,5.8,4.73,180.4,184.6,20.9,67.1,277.4,66.5,54.2,130.4,70.6,1,184.6,0
512,50.51,4,y/h,1,nd,137.3,134.3,261379,20,50,8,20,16,75.5,3.8,4.39,116.7,164.2,22.5,69.5,234.1,70.1,40,124.2,75.6,2,82.1,0.5
512,50.51,5,y/h,1,nd,137.6,142.4,261390,12,50,9,12,17,74.4,6.2,4.17,125.1,159.9,23.4,67.3,225,71.1,30.3,129.6,81.1,1,159.9,0
512,50.51,6,h/h,1,1.4,158.8,118.7,261300,34,66,15,34,23,83.3,2.4,4.81,163.2,165.2,25.6,68.9,262.8,62.9,55.1,110.1,66.6,7,23.6,0.86
512,50.51,8,m/h,1,2.1,209,180.7,261842,30,115,19,30,38,29.8,1,4.53,169.3,266,25.3,78.4,356.6,74.6,87.8,178.2,67,2,133,0.5
512,50.51,10,y/h,1,1.5,148.4,177.6,261650,21,53,4,21,16,48.7,2.3,4.21,131.5,205.3,28.5,76.6,280.8,73.1,35.6,169.7,82.7,2,102.7,0.5
512,50.51,11,h/m,1,0.9,236.8,252.7,260622,15,95,13,15,30,150.1,10,4.83,195.9,260.7,25.8,82.1,394.1,66.2,38.9,221.8,85.1,1,260.7,0
512,50.51,12,y/h,1,1.9,85.1,115.9,261622,11,25,2,11,8,51.5,4.7,3.63,92.3,130.8,25.4,64.5,166.4,78.6,22.5,108.3,82.8,1,130.8,0
512,50.51,13,m/m,1,1.4,107.5,76.4,261487,23,85,16,23,28,64.8,2.8,4.62,79.2,99.5,25.6,60.8,133.4,74.6,28.1,71.4,71.8,1,99.5,0
512,50.51,14,h/h,1,1.8,233.4,284.7,260750,30,74,15,30,25,137.5,4.6,5.01,189.6,235.3,31.2,99.2,385.3,61.1,26.4,208.9,88.8,4,58.8,0.75
512,50.51,15,m/m,1,1.6,198.1,203.4,260942,38,102,19,38,34,118.6,3.1,5.18,196.2,220.1,28.1,81.3,374.3,58.8,52.2,167.9,76.3,4,55,0.75
512,50.51,17,m/h,1,nd,165.7,203,261058,19,73,13,19,24,107.1,5.6,4.69,186,188.1,21.7,66.8,275.4,68.3,36,152.1,80.9,4,47,0.75
512,50.51,18,h/h,1,nd,201.5,215.8,260983,15,69,8,15,22,114.5,7.6,4.57,183.5,263.8,29.6,86.3,406.3,64.9,50.7,213.1,80.8,1,263.8,0
512,50.51,19,y/m,1,nd,222.5,176.1,260625,34,250,38,34,81,149.9,4.4,5.61,208,239,25.7,72.6,323.2,73.9,88.4,150.6,63,4,59.8,0.75
512,50.51,20,y/h,1,0.8,101.2,108.7,261602,10,38,5,10,12,53.5,5.3,3.81,93.8,131.2,24.6,65,165.6,79.2,26.1,105.1,80.1,1,131.2,0
512,50.51,21,h/m,1,1.8,246.2,213.8,260529,25,135,22,25,44,159.3,6.4,5.24,215.9,267.7,28.8,81.9,385.9,69.4,66.9,200.8,75,1,267.7,0
512,50.51,22,h/y,1,1.6,158.4,139.4,261304,19,51,7,19,16,82.9,4.4,4.41,144.2,185.4,26.7,72.1,254.9,72.7,53.2,132.2,71.3,1,185.4,0
512,50.51,23,m/m,1,2.2,149.3,138.9,261202,19,69,14,19,23,92.9,4.9,4.61,118.3,167,24.1,67.7,203.7,82,36.7,130.3,78,2,83.5,0.5
512,50.51,24,h/h,1,1.3,203,239.1,261041,14,50,9,14,17,108.8,7.8,4.4,213.7,286.3,28.96,95.96,528.27,54.2,56.5,229.8,80.3,5,57.3,0.8
512,50.51,25,y/h,1,nd,154.4,149.1,261349,18,48,6,18,15,78.4,4.4,4.33,138.8,211.9,26,80,316.8,66.9,65.2,146.7,69.2,2,106,0.5
512,50.51,26,y/h,1,nd,258.8,234.9,260621,43,134,16,43,42,150.2,3.5,5.43,224.1,280.7,29.4,94.1,449.7,62.4,67.3,213.4,76,3,93.6,0.67
512,50.51,27,y/h,1,nd,152.7,151.9,261338,18,66,8,18,21,79.5,4.4,4.47,141.1,202.5,26,80,310.3,65.3,53.9,148.6,73.4,2,101.3,0.5
512,50.51,28,m/m,1,nd,148.7,116.7,261381,16,37,11,16,13,75.3,4.7,4.21,133,148,23.8,65.7,220.6,67.1,36.8,111.2,75.1,1,148,0
512,50.51,29,m/m,1,2,225.5,261.8,260809,27,83,11,27,26,131.7,4.9,4.97,274.4,246.3,30.89,89.04,465.52,52.9,35.3,211,85.7,3,82.1,0.67
512,50.51,30,m/h,1,nd,138.7,80.8,261392,20,74,12,20,24,74.2,3.7,4.55,78,148.7,25,62.8,173.9,85.5,67.9,80.8,54.3,1,148.7,0
512,50.51,32,m/h,1,0.6,116.5,125.1,261373,17,61,9,17,20,76.1,4.5,4.4,92.5,144,18.6,57.6,178.2,80.8,32.2,111.8,77.6,1,144,0
512,50.51,33,m/m,1,nd,199.6,188.8,260883,22,116,16,22,37,124.4,5.7,5,156,251,24,72.8,321.1,78.2,70.4,180.6,72,1,251,0
512,50.51,34,y/m,1,nd,182,178.7,260969,26,102,16,26,33,115.9,4.5,5,134.2,220.8,28.5,73.8,296.3,74.5,53.1,167.7,76,1,220.8,0
512,50.51,36,h/m,1,nd,254.4,217.6,260602,33,135,21,33,44,152.1,4.6,5.34,203.1,253,26.2,85,430.1,58.8,60.8,192.2,76,4,63.3,0.75
512,50.51,37,y/h,1,nd,199.6,195,260740,41,128,18,41,41,138.5,3.4,5.37,150.7,203.2,36.7,96,264.8,76.7,42.2,161,79.2,7,29,0.86
512,50.51,38,h/y,1,1,107,102.7,261509,8,42,4,8,13,62.6,7.8,3.81,85.2,139.2,25.1,65.5,176.6,78.8,39.1,100.1,71.9,1,139.2,0
512,50.51,39,h/h,1,1.1,183.7,189.8,261184,18,50,2,18,15,94.7,5.3,4.39,182.9,224,27.2,114.9,363,61.7,41.4,182.6,81.5,2,112,0.5
512,50.51,40,h/h,1,2.1,168,204.2,260863,19,109,23,19,37,126.4,6.7,4.95,136.3,233.8,23.3,69.6,270,86.6,40.8,193,82.5,3,77.9,0.67
512,50.51,41,y/h,1,nd,150.5,154.8,261209,15,65,11,15,21,92.2,6.1,4.47,117.7,204.9,23,74.1,282.8,72.5,54.4,150.5,73.5,2,102.5,0.5
512,50.51,42,y/m,1,1.1,136.2,117.2,261274,21,83,15,21,27,85.8,4.1,4.69,123.8,136,22.3,64.1,184.4,73.8,33,103,75.7,1,136,0
512,50.51,43,h/h,1,2.3,159.3,143.4,261235,12,73,12,12,24,89.7,7.5,4.41,160.4,145.3,24.1,65.7,226.9,64,18.1,127.2,87.5,1,145.3,0
512,50.51,44,h/h,1,1.4,183.8,163.6,261086,16,69,14,16,23,104.4,6.5,4.59,154.7,224.9,24.4,71.3,300.7,74.8,62.6,162.3,72.2,1,224.9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
