IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.51,0,H,1,nd,129.557,196.416,261194,15,85,11,15,27,93.7,6.2,4.58,119.15,199.62,25.5,70.64,247.69,80.6,20.86,178.76,89.6,7,28.51714286,0.86
512,50.51,1,H,1,2.1,185.645,250.37,260836,27,97,17,27,32,129,4.8,5.05,160.08,266.68,30.31,82.29,372.15,71.7,35.57,231.11,86.7,1,266.68,0
512,50.51,2,H,1,0.958,134.497,184.269,261306,22,67,9,22,21,82.7,3.8,4.59,114.82,198.704,25.752,88.277,273.41,72.7,26.524,172.18,86.7,2,99.352,0.5
512,50.51,3,H,1,nd,93.331,154.668,261589,4,20,3,4,6,54.8,13.7,3.15,83.785,161.648,25.083,69.394,186.196,86.8,17.462,144.186,89.2,4,40.412,0.75
512,50.51,4,Y,1,0.721,100.266,99.167,261535,6,42,5,6,13,60.1,10,3.68,90.374,112.366,27.69,66.092,141.693,79.3,21.064,91.302,81.3,2,56.183,0.5
512,50.51,5,H,1,1.466,217.544,243.527,260719,17,92,14,17,30,140.6,8.3,4.85,179.984,319.538,29.528,86.146,428.254,74.6,78.201,241.337,75.5,2,159.769,0.5
512,50.51,6,Y,1,1.232,105.58,134.452,261379,11,52,10,11,17,75.5,6.9,4.16,101.768,148.011,28.808,69.151,178.224,83,26.116,121.895,82.4,1,148.011,0
512,50.51,7,H,1,1.162,137.101,164.84,261231,31,106,15,31,34,90.1,2.9,4.98,99.79,194.051,28.951,73.265,229.414,84.6,37.64,156.411,80.6,4,48.51275,0.75
512,50.51,8,Y/H,1,1.731,257.874,283.406,260572,30,104,12,30,32,155.1,5.2,5.18,223.267,370.63,32.246,100.078,544.669,68,93.979,276.651,74.6,3,123.5433333,0.67
512,50.51,9,H,1,1.499,153.467,151.963,261131,21,79,8,21,24,99.9,4.8,4.71,132.69,182.176,28.222,71.668,241.902,75.3,41.339,140.837,77.3,2,91.088,0.5
512,50.51,10,H,1,3.324,313.899,272.709,260221,32,158,28,32,52,189.7,5.9,5.5,264.139,308.257,28.592,95.188,550.158,56,67.532,240.725,78.1,2,154.1285,0.5
512,50.51,11,M,1,1.413,160.843,162.446,261148,15,67,21,15,25,98.3,6.6,4.56,152.473,165.531,27.249,77.274,288.127,57.5,26.923,138.608,83.7,1,165.531,0
512,50.51,12,H,1,0.68,246.866,223.165,260630,19,107,17,19,35,149.4,7.9,4.99,221.676,289.753,31.951,88.345,418.783,69.2,68.691,221.062,76.3,3,96.58433333,0.67
512,50.51,13,H,1,1.132,217.822,234.417,260793,22,98,14,22,31,133.3,6.1,4.96,190.69,323.091,37.258,130.832,457.883,70.6,90.105,232.986,72.1,1,323.091,0
512,50.51,14,H,1,3.001,218.5,205.86,261098,26,58,10,26,19,103.2,4,4.71,190.63,258.06,37.17,92.8,402.04,64.2,72.68,185.38,71.8,2,129.03,0.5
512,50.51,15,H,1,1.528,220.423,279.396,260582,36,137,28,36,46,154.1,4.3,5.41,168.561,307.789,34.483,91.799,441.56,69.7,63.95,243.839,79.2,1,307.789,0
512,59.93,16,H,1,1.177,334.571,340.528,260384,48,182,25,48,58,206,4.3,5.76,272.959,392.087,58.146,159.756,655.968,59.8,106.736,285.351,72.8,5,78.4174,0.8
512,50.51,17,H,1,1.633,222.862,192.075,260875,30,84,12,30,27,125.2,4.2,5,178.776,248.939,30.261,86.587,362.113,68.7,66.608,182.331,73.2,1,248.939,0
512,50.51,18,M,1,nd,254.634,250.808,260409,36,153,26,36,50,171.2,4.8,5.49,225.107,279.133,28.062,90.994,443.185,63,50.021,229.112,82.1,3,93.04433333,0.67
512,50.51,19,H,1,nd,86.324,101.153,261586,12,38,3,12,11,55,4.6,3.88,81.671,108.735,26.279,61.784,139.211,78.1,19.146,89.589,82.4,1,108.735,0
512,50.51,20,H,1,0.9,137.264,127.609,261319,17,63,7,17,20,81.4,4.8,4.43,105.327,143.407,35.521,83.836,176.939,81,26.466,116.941,81.5,2,71.7035,0.5
512,50.51,21,H,1,1.632,261.548,287.796,260621,31,101,19,31,34,150.2,4.8,5.19,217.935,330.819,32.998,124.564,539.247,61.3,69.742,261.077,78.9,3,110.273,0.67
512,50.51,22,H,1,1.268,155.758,218.045,261075,18,65,9,18,21,105.5,5.9,4.59,140.639,198.227,22.061,72.366,304.392,65.1,37.728,160.499,81,2,99.1135,0.5
512,50.51,23,Y,1,1.426,300.794,250.02,260567,27,69,12,27,23,155.6,5.8,4.98,248.728,295.807,39.634,137.071,501.042,59,72.526,223.281,75.5,3,98.60233333,0.67
512,50.51,24,H,1,1.252,213.844,195.93,260923,29,109,20,29,36,120.5,4.2,5.1,196.401,264.438,28.566,83.067,414.422,63.8,57.117,207.321,78.4,6,44.073,0.83
512,50.51,25,Y,1,2.267,244.982,289.509,260555,24,108,12,24,34,156.8,6.5,5.1,231.654,338.47,35.474,139.815,461.29,73.4,59.93,278.54,82.3,3,112.8233333,0.67
512,50.51,26,H,1,1.989,297.719,251.889,260381,52,173,29,52,57,173.9,3.3,5.71,233.67,331.218,38.135,101.657,504.43,65.7,104.822,226.396,68.4,1,331.218,0
512,50.51,27,Y,1,nd,186.25,188.036,261043,12,60,9,12,19,108.6,9.1,4.4,160.3,244.949,24.987,77.686,323.694,75.7,61.653,183.296,74.8,3,81.64966667,0.67
512,50.51,28,Y,1,nd,105.836,139.085,261430,11,49,6,11,15,70.4,6.4,4.08,85.14,169.63,25.2,64.41,204.62,82.9,35.69,133.94,79,1,169.63,0
