IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48um)",Ref number,(nerve terminal/motor endplate),Number of Axonal Inputs,Axon Diameter (um),Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels), Number of Terminal Branches,Number of Branch Points,Total Length of Branches (um),Average Length of Branches (um),"""Complexity""",AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),"""Compactness"" (%)",Unoccupied AChR Area (um2),"""Area of Synaptic Contact"" (um2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (um2),"""Fragmentation"""
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 .tif,Otsu/Otsu,nd,NaN,63.14418748,37.68888058,261809,19,36,4,19,11.2,33.05093514,1.739522902,3.847155376,66.51024253,34.87584171,15.07812972,38.82056593,58.11991372,60.00669904,11.44683066,23.42901105,67.17833865,1,34.87584171,0
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 001.tif,Otsu/Otsu,nd,NaN,154.7712372,82.82404051,261405,48,74,8,48,22.96,72.90937633,1.51894534,4.904996504,211.612482,70.69585218,17.95196434,55.59098099,169.4928919,41.7102165,26.95261404,43.74323814,61.87525405,3,23.56528406,0.666666667
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 002.tif,Otsu/Otsu,1,0.71988871,138.1657184,67.11385113,261371,52,88,13,52,28.28,76.2637996,1.466611531,5.049801188,136.3893428,115.6168707,16.45958779,51.53892965,164.9472547,70.09323734,59.31716502,56.29970572,48.69506099,1,115.6168707,0
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 003.tif,Otsu/Otsu,nd,NaN,106.7722709,39.83029425,261673,34,40,5,34,12.6,46.46862822,1.366724359,4.299009314,133.9370456,66.052878,16.94446531,51.44558038,124.5816071,53.01976717,38.97373297,27.07914503,40.99616224,3,22.017626,0.666666667
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 004.tif,Otsu/Otsu,1,0.95967785,145.8713373,74.99814692,261412,45,69,2,45,19.88,72.21875978,1.604861328,4.81027892,172.096469,99.52706713,18.71126402,54.29558734,170.0185116,58.53895918,38.29237401,61.23469312,61.52566823,5,19.90541343,0.8
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 005.tif,Otsu/Otsu,nd,NaN,165.9430142,76.63340826,261245,44,80,18,44,27.44,88.69489759,2.015793127,5.02973542,189.9026136,119.2475403,19.09004117,55.5653409,192.7272302,61.87373737,57.02974563,62.21779465,52.17532748,1,119.2475403,0
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 006.tif,Otsu/Otsu,nd,NaN,121.9782847,91.20475491,261476,23,61,12,23,20.44,65.90455127,2.865415273,4.491124135,164.0476785,103.9948347,16.3250931,53.30318373,151.1448703,68.80473983,34.1847528,69.81008194,67.12841279,1,103.9948347,0
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 007.tif,Otsu/Otsu,nd,NaN,113.9953696,51.26738998,261576,44,53,12,44,18.2,56.03860048,1.273604556,4.652011345,138.4058931,86.16269909,18.92848932,51.4356646,131.1907883,65.6774002,42.81854429,43.3441548,50.30501047,1,86.16269909,0
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 009.tif,Otsu/Otsu,nd,NaN,177.3071441,61.61431148,261256,54,97,16,54,31.64,87.60964301,1.622400796,5.175182145,163.9859748,110.7110867,19.89353446,57.5764929,186.3711251,59.40356192,57.32175661,53.38933009,48.22401413,2,55.35554335,0.5
512,50.51366804,MAX_Pig 1 S TRITC-BTX SV22H3 010.tif,Yen/Otsu,1,0.91863253,105.4385767,36.2677606,261605,40,73,13,40,24.08,53.17747475,1.329436869,4.709444184,94.56724279,75.48483184,19.591801,49.61361712,117.4662735,64.26085515,41.38769046,34.09714138,45.17085161,1,75.48483184,0
