Pig 3 EDL,,
Count,Reference,Average (µm)
1,93,118.8
2,94,102.7
3,95,109.8
4,96,120.7
5,97,71.4
6,98,145.6
7,99,99.4
8,100,105.3
9,101,124.5
10,102,132.3
11,103,104.8
12,104,94.6
13,105,114.5
14,106,132.4
15,107,138
16,108,134.8
17,109,134.4
18,110,61.4
19,111,70.4
20,112,77
21,113,160.2
22,114,95.3
23,115,133.1
24,116,101.9
25,117,120.3
26,118,127.3
27,119,85.2
28,120,76.2
29,121,106.5
30,122,113.6
31,123,107.4
32,124,135.2
33,125,124.6
34,126,123.9
35,127,141.5
36,128,89.7
37,129,81.1
38,130,85.5
39,131,108.5
40,132,107.8
41,133,77.5
42,134,56.3
43,135,162.1
44,137,73.3
45,138,75.5
46,141,130.1
,,
,,
